# id	orig.	dest.	earl. dep min	earl. dep day	lates. arr. min	lates. arr. day	# of pass.	pass. weight	max. intermediate stops	max. detour
439710	HND	CTB	660	1	930	1	2	428	2	0.5
439910	XIG	CTB	660	1	930	1	2	438	2	0.5
439769	KHP	JAO	660	1	900	1	4	856	2	0.5
439989	KHP	JAO	660	1	900	1	3	647	2	0.5
439992	KHP	JAO	660	1	900	1	2	438	2	0.5
439884	KHP	VUM	660	1	930	1	2	428	2	0.5
439790	JAO	KHW	660	1	930	1	2	438	2	0.5
2445832	XIG	KHW	630	1	930	1	4	752	2	0.5
2445826	XIG	KHW	630	1	930	1	3	637	2	0.5
2445833	KHW	CBE	840	1	930	1	4	752	2	0.5
2445827	KHW	CBE	840	1	930	1	3	637	2	0.5
439351	CBE	MUB	550	1	650	1	2	428	2	0.5
439745	CTB	JAO	660	1	930	1	4	798	2	0.5
2438936	OMD	MUB	710	1	780	1	4	581	2	0.5
439853	MUB	MOM	770	1	870	1	2	428	2	0.5
439764	CTB	VUM	660	1	930	1	1	229	2	0.5
